"Date","Price","Open","High","Low","Change %"
"Oct 18, 2016","6.7409","6.7359","6.7419","6.7331","0.05%"
"Oct 17, 2016","6.7375","6.7324","6.7425","6.7321","0.13%"
"Oct 14, 2016","6.7289","6.7260","6.7289","6.7217","0.02%"
"Oct 13, 2016","6.7274","6.7277","6.7341","6.7238","0.13%"
"Oct 12, 2016","6.7190","6.7161","6.7237","6.7140","-0.04%"
"Oct 11, 2016","6.7220","6.7091","6.7220","6.7078","0.22%"
"Oct 10, 2016","6.7074","6.6704","6.7081","6.6704","0.54%"
"Oct 07, 2016","6.6716","6.6716","6.6716","6.6716","0.00%"
"Oct 06, 2016","6.6716","6.6716","6.6716","6.6716","0.00%"
"Oct 05, 2016","6.6716","6.6716","6.6716","6.6716","0.00%"
"Oct 04, 2016","6.6716","6.6716","6.6716","6.6716","0.00%"
"Oct 03, 2016","6.6716","6.6716","6.6716","6.6716","0.00%"
"Sep 30, 2016","6.6716","6.6681","6.6739","6.6666","0.06%"
"Sep 29, 2016","6.6673","6.6753","6.6753","6.6650","-0.12%"
"Sep 28, 2016","6.6752","6.6718","6.6756","6.6673","0.08%"
"Sep 27, 2016","6.6701","6.6693","6.6708","6.6661","0.02%"
"Sep 26, 2016","6.6689","6.6732","6.6732","6.6689","-0.01%"
"Sep 23, 2016","6.6695","6.6661","6.6715","6.6635","0.07%"
"Sep 22, 2016","6.6648","6.6638","6.6732","6.6638","-0.11%"
"Sep 21, 2016","6.6721","6.6742","6.6759","6.6720","0.00%"
"Sep 20, 2016","6.6720","6.6701","6.6745","6.6670","0.05%"
"Sep 19, 2016","6.6685","6.6741","6.6755","6.6639","-0.07%"
"Sep 16, 2016","6.6734","6.6734","6.6734","6.6734","0.00%"
"Sep 15, 2016","6.6734","6.6734","6.6734","6.6734","0.00%"
"Sep 14, 2016","6.6734","6.6822","6.6822","6.6707","-0.09%"
"Sep 13, 2016","6.6794","6.6807","6.6814","6.6761","-0.01%"
"Sep 12, 2016","6.6802","6.6784","6.6823","6.6765","0.03%"
"Sep 09, 2016","6.6780","6.6662","6.6842","6.6662","0.21%"
"Sep 08, 2016","6.6643","6.6623","6.6691","6.6560","0.03%"
"Sep 07, 2016","6.6625","6.6751","6.6751","6.6617","-0.20%"
"Sep 06, 2016","6.6756","6.6799","6.6903","6.6756","-0.01%"
"Sep 05, 2016","6.6766","6.6806","6.6822","6.6752","-0.06%"
"Sep 02, 2016","6.6805","6.6762","6.6832","6.6743","0.13%"
"Sep 01, 2016","6.6715","6.6779","6.6807","6.6715","-0.12%"
"Aug 31, 2016","6.6793","6.6797","6.6823","6.6775","-0.03%"
"Aug 30, 2016","6.6811","6.6791","6.6837","6.6752","0.05%"
"Aug 29, 2016","6.6777","6.6753","6.6809","6.6700","0.09%"
"Aug 26, 2016","6.6719","6.6620","6.6723","6.6565","0.19%"
"Aug 25, 2016","6.6593","6.6594","6.6638","6.6540","0.00%"
"Aug 24, 2016","6.6590","6.6433","6.6597","6.6406","0.27%"
"Aug 23, 2016","6.6409","6.6534","6.6542","6.6406","-0.15%"
"Aug 22, 2016","6.6507","6.6660","6.6691","6.6463","-0.04%"
"Aug 19, 2016","6.6532","6.6314","6.6551","6.6314","0.33%"
"Aug 18, 2016","6.6312","6.6343","6.6350","6.6201","-0.05%"
"Aug 17, 2016","6.6343","6.6256","6.6365","6.6225","0.14%"
"Aug 16, 2016","6.6253","6.6383","6.6410","6.6149","-0.19%"
"Aug 15, 2016","6.6380","6.6441","6.6491","6.6360","0.04%"
"Aug 12, 2016","6.6353","6.6428","6.6490","6.6338","0.11%"
"Aug 11, 2016","6.6277","6.6309","6.6438","6.6277","-0.16%"
"Aug 10, 2016","6.6380","6.6564","6.6564","6.6292","-0.27%"
"Aug 09, 2016","6.6557","6.6624","6.6662","6.6549","-0.09%"
"Aug 08, 2016","6.6614","6.6602","6.6661","6.6587","0.08%"
"Aug 05, 2016","6.6564","6.6423","6.6566","6.6404","0.22%"
"Aug 04, 2016","6.6418","6.6350","6.6471","6.6330","0.11%"
"Aug 03, 2016","6.6342","6.6261","6.6361","6.6260","0.11%"
"Aug 02, 2016","6.6272","6.6454","6.6523","6.6266","-0.25%"
"Aug 01, 2016","6.6439","6.6308","6.6441","6.6308","0.10%"
"Jul 29, 2016","6.6373","6.6508","6.6561","6.6360","-0.27%"
"Jul 28, 2016","6.6554","6.6696","6.6696","6.6546","-0.22%"
"Jul 27, 2016","6.6700","6.6710","6.6748","6.6683","-0.03%"
"Jul 26, 2016","6.6720","6.6815","6.6824","6.6678","-0.10%"
"Jul 25, 2016","6.6785","6.6823","6.6830","6.6760","-0.01%"
"Jul 22, 2016","6.6795","6.6770","6.6797","6.6703","0.06%"
"Jul 21, 2016","6.6755","6.6780","6.6836","6.6700","-0.03%"
"Jul 20, 2016","6.6777","6.6949","6.6949","6.6718","-0.28%"
"Jul 19, 2016","6.6963","6.7045","6.7045","6.6920","-0.12%"
"Jul 18, 2016","6.7045","6.6932","6.7066","6.6932","0.24%"
"Jul 15, 2016","6.6887","6.6818","6.6887","6.6814","0.08%"
"Jul 14, 2016","6.6836","6.6875","6.6917","6.6836","-0.04%"
"Jul 13, 2016","6.6863","6.6821","6.6955","6.6811","-0.03%"
"Jul 12, 2016","6.6885","6.6905","6.6946","6.6836","-0.08%"
"Jul 11, 2016","6.6939","6.6872","6.6939","6.6862","0.09%"
"Jul 08, 2016","6.6881","6.6851","6.6892","6.6798","0.11%"
