"Date","Price","Open","High","Low","Change %"
"Jul 31, 2017","0.8445","0.8519","0.8531","0.8441","-0.75%"
"Jul 28, 2017","0.8509","0.8563","0.8569","0.8500","-0.64%"
"Jul 27, 2017","0.8564","0.8522","0.8584","0.8491","0.49%"
"Jul 26, 2017","0.8522","0.8582","0.8611","0.8518","-0.75%"
"Jul 25, 2017","0.8586","0.8588","0.8599","0.8538","-0.05%"
"Jul 24, 2017","0.8590","0.8578","0.8604","0.8560","0.17%"
"Jul 21, 2017","0.8575","0.8598","0.8608","0.8559","-0.27%"
"Jul 20, 2017","0.8598","0.8684","0.8714","0.8581","-0.99%"
"Jul 19, 2017","0.8684","0.8655","0.8688","0.8651","0.34%"
"Jul 18, 2017","0.8655","0.8712","0.8719","0.8634","-0.65%"
"Jul 17, 2017","0.8712","0.8721","0.8745","0.8704","-0.09%"
"Jul 14, 2017","0.8720","0.8773","0.8780","0.8717","-0.60%"
"Jul 13, 2017","0.8773","0.8764","0.8797","0.8731","0.13%"
"Jul 12, 2017","0.8762","0.8722","0.8780","0.8703","0.48%"
"Jul 11, 2017","0.8720","0.8772","0.8787","0.8710","-0.59%"
"Jul 10, 2017","0.8772","0.8778","0.8788","0.8759","0.01%"
"Jul 07, 2017","0.8771","0.8755","0.8788","0.8740","0.19%"
"Jul 06, 2017","0.8754","0.8809","0.8828","0.8751","-0.62%"
"Jul 05, 2017","0.8809","0.8815","0.8841","0.8796","-0.06%"
"Jul 04, 2017","0.8814","0.8800","0.8824","0.8791","0.17%"
"Jul 03, 2017","0.8799","0.8756","0.8809","0.8751","0.54%"
"Jun 30, 2017","0.8752","0.8742","0.8779","0.8737","0.14%"
"Jun 29, 2017","0.8740","0.8788","0.8791","0.8736","-0.56%"
"Jun 28, 2017","0.8789","0.8821","0.8858","0.8779","-0.35%"
"Jun 27, 2017","0.8820","0.8942","0.8946","0.8810","-1.38%"
"Jun 26, 2017","0.8943","0.8928","0.8953","0.8913","0.11%"
"Jun 23, 2017","0.8933","0.8965","0.8973","0.8921","-0.38%"
"Jun 22, 2017","0.8967","0.8953","0.8979","0.8947","0.15%"
"Jun 21, 2017","0.8954","0.8982","0.8988","0.8951","-0.30%"
"Jun 20, 2017","0.8981","0.8970","0.8995","0.8956","0.12%"
"Jun 19, 2017","0.8970","0.8929","0.8974","0.8915","0.44%"
"Jun 16, 2017","0.8931","0.8972","0.8978","0.8925","-0.46%"
"Jun 15, 2017","0.8972","0.8914","0.8984","0.8907","0.65%"
"Jun 14, 2017","0.8914","0.8920","0.8934","0.8852","-0.07%"
"Jun 13, 2017","0.8920","0.8925","0.8941","0.8908","-0.08%"
"Jun 12, 2017","0.8927","0.8933","0.8937","0.8904","-0.06%"
"Jun 09, 2017","0.8932","0.8920","0.8958","0.8899","0.16%"
"Jun 08, 2017","0.8918","0.8883","0.8933","0.8873","0.39%"
"Jun 07, 2017","0.8883","0.8869","0.8927","0.8862","0.18%"
"Jun 06, 2017","0.8867","0.8885","0.8898","0.8863","-0.20%"
"Jun 05, 2017","0.8885","0.8866","0.8903","0.8861","0.25%"
"Jun 02, 2017","0.8863","0.8919","0.8927","0.8861","-0.63%"
"Jun 01, 2017","0.8919","0.8892","0.8928","0.8883","0.28%"
"May 31, 2017","0.8894","0.8940","0.8959","0.8887","-0.51%"
"May 30, 2017","0.8940","0.8954","0.9002","0.8924","-0.20%"
"May 29, 2017","0.8958","0.8944","0.8961","0.8935","0.18%"
"May 26, 2017","0.8942","0.8920","0.8961","0.8901","0.24%"
"May 25, 2017","0.8921","0.8914","0.8934","0.8889","0.09%"
"May 24, 2017","0.8913","0.8942","0.8954","0.8911","-0.32%"
"May 23, 2017","0.8942","0.8898","0.8949","0.8874","0.48%"
"May 22, 2017","0.8899","0.8925","0.8960","0.8877","-0.27%"
"May 19, 2017","0.8923","0.9006","0.9013","0.8919","-0.92%"
"May 18, 2017","0.9006","0.8962","0.9031","0.8951","0.49%"
"May 17, 2017","0.8962","0.9022","0.9024","0.8958","-0.68%"
"May 16, 2017","0.9023","0.9112","0.9113","0.9009","-0.98%"
"May 15, 2017","0.9112","0.9152","0.9156","0.9100","-0.40%"
"May 12, 2017","0.9149","0.9207","0.9214","0.9145","-0.62%"
"May 11, 2017","0.9206","0.9200","0.9225","0.9180","0.04%"
"May 10, 2017","0.9202","0.9196","0.9214","0.9174","0.07%"
"May 09, 2017","0.9196","0.9153","0.9206","0.9145","0.46%"
"May 08, 2017","0.9154","0.9091","0.9162","0.9070","0.67%"
"May 05, 2017","0.9093","0.9100","0.9134","0.9090","-0.11%"
"May 04, 2017","0.9103","0.9185","0.9195","0.9100","-0.90%"
"May 03, 2017","0.9186","0.9151","0.9192","0.9144","0.40%"
"May 02, 2017","0.9149","0.9176","0.9186","0.9146","-0.28%"
"May 01, 2017","0.9175","0.9168","0.9188","0.9153","-0.02%"
"Apr 28, 2017","0.9177","0.9195","0.9212","0.9135","-0.22%"
"Apr 27, 2017","0.9197","0.9171","0.9216","0.9146","0.27%"
"Apr 26, 2017","0.9172","0.9152","0.9212","0.9131","0.21%"
"Apr 25, 2017","0.9153","0.9202","0.9215","0.9132","-0.53%"
"Apr 24, 2017","0.9202","0.9153","0.9242","0.9143","-1.29%"
"Apr 21, 2017","0.9322","0.9329","0.9363","0.9314","-0.10%"
"Apr 20, 2017","0.9331","0.9334","0.9338","0.9276","-0.05%"
"Apr 19, 2017","0.9336","0.9317","0.9347","0.9314","0.18%"
"Apr 18, 2017","0.9319","0.9398","0.9402","0.9314","-0.81%"
"Apr 17, 2017","0.9395","0.9422","0.9433","0.9372","-0.31%"
"Apr 14, 2017","0.9424","0.9422","0.9430","0.9405","0.02%"
"Apr 13, 2017","0.9422","0.9375","0.9425","0.9364","0.50%"
"Apr 12, 2017","0.9375","0.9432","0.9445","0.9366","-0.60%"
"Apr 11, 2017","0.9432","0.9435","0.9454","0.9406","-0.05%"
"Apr 10, 2017","0.9437","0.9441","0.9463","0.9429","-0.06%"
"Apr 07, 2017","0.9443","0.9395","0.9453","0.9375","0.51%"
"Apr 06, 2017","0.9395","0.9379","0.9409","0.9361","0.19%"
"Apr 05, 2017","0.9377","0.9366","0.9402","0.9355","0.09%"
"Apr 04, 2017","0.9369","0.9370","0.9402","0.9363","-0.05%"
