"Date","Price","Open","High","Low","Change %"
"Aug 05, 2016","7.3791","7.3877","7.4151","7.3468","-0.17%"
"Aug 04, 2016","7.3917","7.3927","7.4091","7.3801","-0.06%"
"Aug 03, 2016","7.3965","7.4333","7.4448","7.3861","-0.59%"
"Aug 02, 2016","7.4407","7.4126","7.4508","7.4079","0.33%"
"Aug 01, 2016","7.4162","7.4156","7.4288","7.4022","-0.01%"
"Jul 29, 2016","7.4166","7.3691","7.4266","7.3634","0.62%"
"Jul 28, 2016","7.3712","7.3721","7.4044","7.3618","-0.07%"
"Jul 27, 2016","7.3761","7.3239","7.3821","7.3075","0.62%"
"Jul 26, 2016","7.3309","7.3428","7.3649","7.3199","-0.16%"
"Jul 25, 2016","7.3424","7.3222","7.3477","7.3102","0.15%"
"Jul 22, 2016","7.3311","7.3589","7.3704","7.3109","-0.39%"
"Jul 21, 2016","7.3598","7.3509","7.3845","7.3268","0.06%"
"Jul 20, 2016","7.3555","7.3745","7.3857","7.3336","-0.34%"
"Jul 19, 2016","7.3807","7.4197","7.4326","7.3620","-0.59%"
"Jul 18, 2016","7.4245","7.3819","7.4329","7.3792","0.58%"
"Jul 15, 2016","7.3817","7.4256","7.4509","7.3692","-0.68%"
"Jul 14, 2016","7.4321","7.4097","7.4639","7.4070","0.23%"
"Jul 13, 2016","7.4151","7.3940","7.4386","7.3865","0.24%"
"Jul 12, 2016","7.3972","7.3983","7.4437","7.3914","-0.07%"
"Jul 11, 2016","7.4021","7.3900","7.4101","7.3661","0.12%"
"Jul 08, 2016","7.3933","7.3870","7.4287","7.3495","0.03%"
"Jul 07, 2016","7.3913","7.4239","7.4368","7.3796","-0.51%"
"Jul 06, 2016","7.4289","7.3941","7.4370","7.3714","0.41%"
"Jul 05, 2016","7.3984","7.4287","7.4603","7.3834","-0.50%"
"Jul 04, 2016","7.4354","7.4133","7.4435","7.3945","0.32%"
"Jul 01, 2016","7.4118","7.3789","7.4351","7.3675","0.39%"
"Jun 30, 2016","7.3830","7.3801","7.4124","7.3251","-0.01%"
"Jun 29, 2016","7.3834","7.3514","7.3965","7.3370","0.36%"
"Jun 28, 2016","7.3571","7.3269","7.3838","7.3169","0.34%"
"Jun 27, 2016","7.3323","7.3215","7.3628","7.2739","-0.40%"
"Jun 24, 2016","7.3614","7.4878","7.5243","7.2071","-1.72%"
"Jun 23, 2016","7.4905","7.4258","7.5098","7.4251","0.81%"
"Jun 22, 2016","7.4306","7.4090","7.4574","7.4024","0.30%"
"Jun 21, 2016","7.4085","7.4384","7.4686","7.4023","-0.44%"
"Jun 20, 2016","7.4413","7.4284","7.4888","7.4278","0.15%"
"Jun 17, 2016","7.4298","7.3958","7.4421","7.3913","0.40%"
"Jun 16, 2016","7.4001","7.4048","7.4321","7.3329","-0.14%"
"Jun 15, 2016","7.4108","7.3861","7.4371","7.3731","0.24%"
"Jun 14, 2016","7.3933","7.4321","7.4470","7.3721","-0.58%"
"Jun 13, 2016","7.4365","7.3795","7.4472","7.3664","0.73%"
"Jun 10, 2016","7.3828","7.4209","7.4341","7.3743","-0.58%"
"Jun 09, 2016","7.4255","7.4764","7.4924","7.4136","-0.69%"
"Jun 08, 2016","7.4773","7.4620","7.4949","7.4561","0.18%"
"Jun 07, 2016","7.4639","7.4488","7.4781","7.4449","0.15%"
"Jun 06, 2016","7.4528","7.4506","7.4797","7.4304","-0.13%"
"Jun 03, 2016","7.4623","7.3384","7.4688","7.3292","1.63%"
"Jun 02, 2016","7.3423","7.3546","7.3864","7.3318","-0.20%"
"Jun 01, 2016","7.3568","7.3233","7.3621","7.3134","0.39%"
"May 31, 2016","7.3281","7.3279","7.3550","7.3174","-0.13%"
"May 30, 2016","7.3380","7.2918","7.3394","7.2806","0.59%"
"May 27, 2016","7.2951","7.3346","7.3470","7.2872","-0.61%"
"May 26, 2016","7.3399","7.3095","7.3560","7.3022","0.40%"
"May 25, 2016","7.3110","7.3018","7.3239","7.2959","0.08%"
"May 24, 2016","7.3053","7.3515","7.3597","7.2953","-0.67%"
"May 23, 2016","7.3548","7.3441","7.3640","7.3293","0.06%"
"May 20, 2016","7.3506","7.3306","7.3564","7.3240","0.22%"
"May 19, 2016","7.3346","7.3312","7.3509","7.3182","0.00%"
"May 18, 2016","7.3346","7.3714","7.3849","7.3280","-0.58%"
"May 17, 2016","7.3772","7.3775","7.4092","7.3688","-0.06%"
"May 16, 2016","7.3817","7.3818","7.3992","7.3710","-0.05%"
"May 13, 2016","7.3857","7.4097","7.4234","7.3638","-0.38%"
"May 12, 2016","7.4141","7.4160","7.4390","7.4038","-0.04%"
"May 11, 2016","7.4168","7.4082","7.4396","7.4039","0.06%"
"May 10, 2016","7.4126","7.4136","7.4398","7.3984","-0.08%"
"May 09, 2016","7.4182","7.4059","7.4402","7.3923","0.06%"
"May 06, 2016","7.4134","7.4169","7.4628","7.3962","-0.05%"
"May 05, 2016","7.4171","7.4589","7.4759","7.4051","-0.58%"
"May 04, 2016","7.4605","7.4596","7.4925","7.4532","-0.04%"
"May 03, 2016","7.4636","7.4662","7.5195","7.4549","-0.05%"
"May 02, 2016","7.4672","7.4086","7.4698","7.4080","0.68%"
"Apr 29, 2016","7.4167","7.3487","7.4247","7.3364","0.88%"
"Apr 28, 2016","7.3521","7.3499","7.3700","7.3221","-0.02%"
"Apr 27, 2016","7.3533","7.3310","7.3805","7.3194","0.23%"
"Apr 26, 2016","7.3367","7.3097","7.3642","7.3039","0.28%"
"Apr 25, 2016","7.3163","7.2986","7.3244","7.2889","0.18%"
"Apr 22, 2016","7.3028","7.3151","7.3351","7.2908","-0.19%"
"Apr 21, 2016","7.3168","7.3050","7.3793","7.3005","0.09%"
"Apr 20, 2016","7.3100","7.3314","7.3657","7.2992","-0.34%"
"Apr 19, 2016","7.3351","7.3208","7.3585","7.3130","0.12%"
"Apr 18, 2016","7.3260","7.3113","7.3427","7.3037","0.27%"
"Apr 15, 2016","7.3064","7.3028","7.3270","7.2892","0.02%"
"Apr 14, 2016","7.3046","7.3006","7.3226","7.2862","0.01%"
"Apr 13, 2016","7.3037","7.3579","7.3661","7.2953","-0.79%"
"Apr 12, 2016","7.3617","7.3660","7.4089","7.3391","-0.10%"
"Apr 11, 2016","7.3690","7.3708","7.4005","7.3574","-0.04%"
"Apr 08, 2016","7.3720","7.3488","7.3849","7.3378","0.26%"
"Apr 07, 2016","7.3529","7.3823","7.4069","7.3316","-0.47%"
"Apr 06, 2016","7.3876","7.3710","7.4101","7.3423","0.19%"
"Apr 05, 2016","7.3737","7.3780","7.3898","7.3382","-0.09%"
"Apr 04, 2016","7.3804","7.3786","7.3947","7.3553","0.04%"
"Apr 01, 2016","7.3778","7.3365","7.3935","7.3307","0.53%"
"Mar 31, 2016","7.3390","7.3285","7.3656","7.3101","0.12%"
"Mar 30, 2016","7.3301","7.3443","7.3545","7.3136","-0.22%"
"Mar 29, 2016","7.3465","7.2812","7.3556","7.2695","0.83%"
"Mar 28, 2016","7.2858","7.2693","7.3051","7.2628","0.14%"
"Mar 25, 2016","7.2758","7.2763","7.2900","7.2616","-0.05%"
"Mar 24, 2016","7.2795","7.2696","7.2880","7.2553","0.04%"
"Mar 23, 2016","7.2766","7.2752","7.2847","7.2560","-0.04%"
"Mar 22, 2016","7.2798","7.2862","7.3123","7.2639","-0.13%"
"Mar 21, 2016","7.2894","7.2884","7.3214","7.2774","-0.06%"
"Mar 18, 2016","7.2935","7.3265","7.3421","7.2825","-0.49%"
"Mar 17, 2016","7.3291","7.3155","7.3483","7.2796","0.11%"
"Mar 16, 2016","7.3209","7.2318","7.3339","7.2066","1.16%"
"Mar 15, 2016","7.2370","7.2126","7.2477","7.2074","0.25%"
"Mar 14, 2016","7.2188","7.2402","7.2600","7.1963","-0.33%"
"Mar 11, 2016","7.2428","7.2716","7.2964","7.2004","-0.44%"
"Mar 10, 2016","7.2746","7.1635","7.3026","7.0568","1.49%"
"Mar 09, 2016","7.1676","7.1568","7.1883","7.1275","0.13%"
"Mar 08, 2016","7.1585","7.1749","7.1949","7.1483","-0.27%"
"Mar 07, 2016","7.1776","7.1612","7.1860","7.1282","0.22%"
"Mar 04, 2016","7.1615","7.1549","7.1907","7.1035","0.06%"
"Mar 03, 2016","7.1574","7.1204","7.1686","7.0998","0.53%"
"Mar 02, 2016","7.1196","7.1172","7.1281","7.0890","-0.01%"
"Mar 01, 2016","7.1201","7.1226","7.1406","7.0944","-0.08%"
"Feb 29, 2016","7.1261","7.1471","7.1795","7.1134","-0.35%"
"Feb 26, 2016","7.1513","7.1963","7.2380","7.1340","-0.71%"
"Feb 25, 2016","7.2022","7.1891","7.2205","7.1758","0.12%"
"Feb 24, 2016","7.1934","7.1900","7.2156","7.1602","0.00%"
"Feb 23, 2016","7.1932","7.1886","7.2157","7.1711","0.00%"
"Feb 22, 2016","7.1932","7.2537","7.2629","7.1731","-0.95%"
"Feb 19, 2016","7.2623","7.2364","7.2661","7.2142","0.30%"
"Feb 18, 2016","7.2404","7.2619","7.2758","7.2122","-0.33%"
"Feb 17, 2016","7.2646","7.2588","7.2963","7.2425","0.03%"
"Feb 16, 2016","7.2624","7.2424","7.2964","7.2411","0.22%"
"Feb 15, 2016","7.2464","7.3917","7.3963","7.2247","-2.11%"
"Feb 12, 2016","7.4025","7.4417","7.4512","7.3674","-0.56%"
"Feb 11, 2016","7.4443","7.4180","7.4797","7.4062","0.30%"
"Feb 10, 2016","7.4220","7.4193","7.4358","7.3319","-0.03%"
"Feb 09, 2016","7.4239","7.3562","7.4541","7.3339","0.85%"
"Feb 08, 2016","7.3611","7.3306","7.3743","7.2833","0.34%"
"Feb 05, 2016","7.3358","7.3554","7.3919","7.2981","-0.30%"
"Feb 04, 2016","7.3579","7.3012","7.3915","7.2793","0.75%"
"Feb 03, 2016","7.3031","7.1822","7.3314","7.1710","1.65%"
"Feb 02, 2016","7.1844","7.1619","7.1995","7.1580","0.30%"
"Feb 01, 2016","7.1629","7.1216","7.1805","7.1091","0.52%"
"Jan 29, 2016","7.1261","7.1898","7.2016","7.1071","-0.92%"
"Jan 28, 2016","7.1926","7.1620","7.2122","7.1449","0.38%"
"Jan 27, 2016","7.1652","7.1533","7.1810","7.1372","0.13%"
"Jan 26, 2016","7.1562","7.1362","7.1575","7.1187","0.26%"
"Jan 25, 2016","7.1379","7.1031","7.1439","7.0959","0.49%"
"Jan 22, 2016","7.1034","7.1525","7.1580","7.0966","-0.72%"
"Jan 21, 2016","7.1551","7.1642","7.1859","7.0904","-0.13%"
"Jan 20, 2016","7.1646","7.1756","7.2224","7.1537","-0.16%"
"Jan 19, 2016","7.1762","7.1637","7.1979","7.1412","0.14%"
"Jan 18, 2016","7.1660","7.1871","7.2033","7.1492","-0.32%"
"Jan 15, 2016","7.1888","7.1577","7.2342","7.1505","0.39%"
"Jan 14, 2016","7.1606","7.1515","7.2139","7.1380","0.12%"
"Jan 13, 2016","7.1521","7.1311","7.1612","7.1019","0.22%"
"Jan 12, 2016","7.1364","7.1297","7.1716","7.1074","0.03%"
"Jan 11, 2016","7.1344","7.2011","7.2342","7.1231","-1.06%"
"Jan 08, 2016","7.2109","7.2064","7.2129","7.1173","0.02%"
"Jan 07, 2016","7.2096","7.0654","7.2136","7.0608","1.99%"
"Jan 06, 2016","7.0687","7.0084","7.0825","7.0026","0.83%"
"Jan 05, 2016","7.0103","7.0755","7.0832","6.9843","-0.97%"
"Jan 04, 2016","7.0788","7.0478","7.1476","7.0277","0.38%"
